Rented Bike Count,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons_Autumn,Seasons_Spring,Seasons_Summer,Seasons_Winter,Holiday_Holiday,Holiday_No Holiday,Hour_sin,Hour_cos
142,-3.7,76,0.0,1864,0.0,0.0,0.4,0,0,0,1,0,1,1.0,6.123233995736766e-17
379,-4.2,77,0.0,1741,0.0,0.0,0.3,0,0,0,1,0,1,0.9659258262890683,-0.25881904510252063
802,-4.2,78,0.0,1518,0.01,0.0,0.2,0,0,0,1,0,1,0.8660254037844387,-0.4999999999999998
440,-3.3,70,0.0,1324,0.25,0.0,0.2,0,0,0,1,0,1,0.7071067811865476,-0.7071067811865475
307,-0.9,64,0.0,1224,0.63,0.0,0.2,0,0,0,1,0,1,0.49999999999999994,-0.8660254037844387
381,1.6,57,1.2,1261,0.93,0.0,0.0,0,0,0,1,0,1,0.258819045102521,-0.9659258262890682
405,2.4,52,0.9,1224,1.08,0.0,0.0,0,0,0,1,0,1,1.2246467991473532e-16,-1.0
442,4.2,47,1.1,1469,1.1,0.0,0.0,0,0,0,1,0,1,-0.2588190451025208,-0.9659258262890683
416,5.5,34,1.0,1966,0.96,0.0,0.0,0,0,0,1,0,1,-0.4999999999999997,-0.8660254037844388
412,5.5,31,3.1,1968,0.72,0.0,0.0,0,0,0,1,0,1,-0.7071067811865471,-0.7071067811865479
496,5.3,37,2.9,2000,0.36,0.0,0.0,0,0,0,1,0,1,-0.8660254037844385,-0.5000000000000004
239,4.1,60,2.5,1565,0.1,0.0,0.0,0,0,0,1,0,1,-0.9659258262890683,-0.25881904510252063
204,1.7,90,1.0,66,0.0,0.3,0.3,0,0,0,1,0,1,-1.0,-1.8369701987210297e-16
205,1.2,92,0.7,180,0.0,0.0,1.0,0,0,0,1,0,1,-0.9659258262890684,0.2588190451025203
190,1.2,94,0.6,228,0.0,0.0,1.0,0,0,0,1,0,1,-0.8660254037844386,0.5000000000000001
165,1.1,92,0.5,235,0.0,0.7,1.0,0,0,0,1,0,1,-0.7071067811865477,0.7071067811865474
222,1.3,92,0.6,233,0.0,0.0,1.0,0,0,0,1,0,1,-0.5000000000000004,0.8660254037844384
193,1.3,92,0.6,209,0.0,0.0,1.0,0,0,0,1,0,1,-0.25881904510252157,0.9659258262890681
198,1.4,92,0.5,240,0.0,0.0,0.9,0,0,0,1,0,1,0.0,1.0
218,1.5,92,0.4,227,0.0,0.0,0.9,0,0,0,1,0,1,0.25881904510252074,0.9659258262890683
149,1.4,92,0.7,168,0.0,0.0,0.9,0,0,0,1,0,1,0.49999999999999994,0.8660254037844387
102,1.9,91,1.4,218,0.0,0.0,0.9,0,0,0,1,0,1,0.7071067811865476,0.7071067811865476
62,1.6,92,0.7,119,0.0,0.0,0.9,0,0,0,1,0,1,0.8660254037844386,0.5000000000000001
83,1.5,92,1.1,175,0.0,0.0,0.9,0,0,0,1,0,1,0.9659258262890683,0.25881904510252074
137,1.0,93,0.5,148,0.0,0.0,0.9,0,0,0,1,0,1,1.0,6.123233995736766e-17
367,0.3,93,0.5,173,0.0,0.0,0.9,0,0,0,1,0,1,0.9659258262890683,-0.25881904510252063
754,-0.2,96,0.8,173,0.01,0.0,0.8,0,0,0,1,0,1,0.8660254037844387,-0.4999999999999998
415,0.1,91,0.8,265,0.14,0.0,0.8,0,0,0,1,0,1,0.7071067811865476,-0.7071067811865475
321,1.1,83,0.7,311,0.41,0.0,0.7,0,0,0,1,0,1,0.49999999999999994,-0.8660254037844387
333,2.3,69,1.7,628,0.63,0.0,0.6,0,0,0,1,0,1,0.258819045102521,-0.9659258262890682
431,3.7,65,2.4,833,0.98,0.0,0.3,0,0,0,1,0,1,1.2246467991473532e-16,-1.0
394,4.1,37,3.1,1767,1.14,0.0,0.0,0,0,0,1,0,1,-0.2588190451025208,-0.9659258262890683
390,4.4,36,2.7,1975,1.04,0.0,0.0,0,0,0,1,0,1,-0.4999999999999997,-0.8660254037844388
430,4.0,35,3.1,1962,0.84,0.0,0.0,0,0,0,1,0,1,-0.7071067811865471,-0.7071067811865479
471,3.2,38,2.9,1817,0.51,0.0,0.0,0,0,0,1,0,1,-0.8660254037844385,-0.5000000000000004
552,2.1,50,2.0,1434,0.15,0.0,0.0,0,0,0,1,0,1,-0.9659258262890683,-0.25881904510252063
795,0.7,46,2.7,1558,0.0,0.0,0.0,0,0,0,1,0,1,-1.0,-1.8369701987210297e-16
507,-0.4,47,2.5,1269,0.0,0.0,0.0,0,0,0,1,0,1,-0.9659258262890684,0.2588190451025203
390,-1.4,47,2.5,1620,0.0,0.0,0.0,0,0,0,1,0,1,-0.8660254037844386,0.5000000000000001
402,-2.2,46,2.2,1975,0.0,0.0,0.0,0,0,0,1,0,1,-0.7071067811865477,0.7071067811865474
389,-2.7,48,2.6,1844,0.0,0.0,0.0,0,0,0,1,0,1,-0.5000000000000004,0.8660254037844384
259,-3.2,50,2.1,1887,0.0,0.0,0.0,0,0,0,1,0,1,-0.25881904510252157,0.9659258262890681
233,-3.5,49,2.6,1893,0.0,0.0,0.0,0,0,0,1,0,1,0.0,1.0
230,-3.7,50,2.5,1902,0.0,0.0,0.0,0,0,0,1,0,1,0.25881904510252074,0.9659258262890683
131,-4.3,53,1.0,1918,0.0,0.0,0.0,0,0,0,1,0,1,0.49999999999999994,0.8660254037844387
99,-4.8,52,1.6,1978,0.0,0.0,0.0,0,0,0,1,0,1,0.7071067811865476,0.7071067811865476
71,-5.3,53,2.4,1936,0.0,0.0,0.0,0,0,0,1,0,1,0.8660254037844386,0.5000000000000001
84,-5.8,56,2.0,1941,0.0,0.0,0.0,0,0,0,1,0,1,0.9659258262890683,0.25881904510252074
158,-6.0,56,3.5,1853,0.0,0.0,0.0,0,0,0,1,0,1,1.0,6.123233995736766e-17
387,-6.5,57,0.8,1776,0.0,0.0,0.0,0,0,0,1,0,1,0.9659258262890683,-0.25881904510252063
780,-7.0,59,0.8,1559,0.01,0.0,0.0,0,0,0,1,0,1,0.8660254037844387,-0.4999999999999998
395,-6.7,50,0.9,1492,0.23,0.0,0.0,0,0,0,1,0,1,0.7071067811865476,-0.7071067811865475
261,-5.3,44,2.8,1516,0.63,0.0,0.0,0,0,0,1,0,1,0.49999999999999994,-0.8660254037844387
310,-3.7,39,1.4,1595,0.93,0.0,0.0,0,0,0,1,0,1,0.258819045102521,-0.9659258262890682
355,-2.0,30,1.4,1728,1.14,0.0,0.0,0,0,0,1,0,1,1.2246467991473532e-16,-1.0
354,-1.7,28,1.8,1963,1.22,0.0,0.0,0,0,0,1,0,1,-0.2588190451025208,-0.9659258262890683
350,-1.3,27,3.1,1906,1.12,0.0,0.0,0,0,0,1,0,1,-0.4999999999999997,-0.8660254037844388
362,-0.8,26,3.3,1977,0.87,0.0,0.0,0,0,0,1,0,1,-0.7071067811865471,-0.7071067811865479
401,-1.1,24,3.4,2000,0.56,0.0,0.0,0,0,0,1,0,1,-0.8660254037844385,-0.5000000000000004
500,-2.4,30,2.7,2000,0.18,0.0,0.0,0,0,0,1,0,1,-0.9659258262890683,-0.25881904510252063
752,-3.1,33,1.2,2000,0.0,0.0,0.0,0,0,0,1,0,1,-1.0,-1.8369701987210297e-16
477,-3.3,35,1.1,2000,0.0,0.0,0.0,0,0,0,1,0,1,-0.9659258262890684,0.2588190451025203
384,-3.3,34,1.5,2000,0.0,0.0,0.0,0,0,0,1,0,1,-0.8660254037844386,0.5000000000000001
336,-3.3,35,0.5,2000,0.0,0.0,0.0,0,0,0,1,0,1,-0.7071067811865477,0.7071067811865474
347,-3.4,39,1.2,2000,0.0,0.0,0.0,0,0,0,1,0,1,-0.5000000000000004,0.8660254037844384
275,-3.5,43,0.9,2000,0.0,0.0,0.0,0,0,0,1,0,1,-0.25881904510252157,0.9659258262890681
267,-3.5,48,0.9,1967,0.0,0.0,0.0,0,0,0,1,0,1,0.0,1.0
296,-4.1,49,0.6,2000,0.0,0.0,0.0,0,0,0,1,0,1,0.25881904510252074,0.9659258262890683
237,-4.7,50,0.7,1983,0.0,0.0,0.0,0,0,0,1,0,1,0.49999999999999994,0.8660254037844387
169,-4.3,47,0.6,1992,0.0,0.0,0.0,0,0,0,1,0,1,0.7071067811865476,0.7071067811865476
96,-4.3,49,0.7,2000,0.0,0.0,0.0,0,0,0,1,0,1,0.8660254037844386,0.5000000000000001
56,-4.7,49,0.8,1999,0.0,0.0,0.0,0,0,0,1,0,1,0.9659258262890683,0.25881904510252074
76,-5.1,53,0.9,1975,0.0,0.0,0.0,0,0,0,1,0,1,1.0,6.123233995736766e-17
127,-5.5,56,0.8,1950,0.0,0.0,0.0,0,0,0,1,0,1,0.9659258262890683,-0.25881904510252063
222,-5.4,56,0.7,1940,0.01,0.0,0.0,0,0,0,1,0,1,0.8660254037844387,-0.4999999999999998
291,-4.7,48,1.0,1784,0.23,0.0,0.0,0,0,0,1,0,1,0.7071067811865476,-0.7071067811865475
273,-2.2,42,1.3,1646,0.61,0.0,0.0,0,0,0,1,0,1,0.49999999999999994,-0.8660254037844387
351,0.0,45,1.1,1500,0.89,0.0,0.0,0,0,0,1,0,1,0.258819045102521,-0.9659258262890682
427,2.4,40,0.8,1809,1.05,0.0,0.0,0,0,0,1,0,1,1.2246467991473532e-16,-1.0
431,3.9,36,2.0,1702,1.13,0.0,0.0,0,0,0,1,0,1,-0.2588190451025208,-0.9659258262890683
486,4.7,32,2.2,1948,1.06,0.0,0.0,0,0,0,1,0,1,-0.4999999999999997,-0.8660254037844388
569,5.2,30,2.0,1963,0.84,0.0,0.0,0,0,0,1,0,1,-0.7071067811865471,-0.7071067811865479
546,4.4,33,1.6,1963,0.4,0.0,0.0,0,0,0,1,0,1,-0.8660254037844385,-0.5000000000000004
481,3.5,37,1.8,1963,0.1,0.0,0.0,0,0,0,1,0,1,-0.9659258262890683,-0.25881904510252063
384,2.5,41,1.0,1974,0.0,0.0,0.0,0,0,0,1,0,1,-1.0,-1.8369701987210297e-16
275,1.5,48,0.4,1878,0.0,0.0,0.0,0,0,0,1,0,1,-0.9659258262890684,0.2588190451025203
298,0.8,51,1.4,1848,0.0,0.0,0.0,0,0,0,1,0,1,-0.8660254037844386,0.5000000000000001
321,-0.1,55,0.7,1654,0.0,0.0,0.0,0,0,0,1,0,1,-0.7071067811865477,0.7071067811865474
289,-0.5,55,0.6,1655,0.0,0.0,0.0,0,0,0,1,0,1,-0.5000000000000004,0.8660254037844384
265,-0.1,54,1.3,1570,0.0,0.0,0.0,0,0,0,1,0,1,-0.25881904510252157,0.9659258262890681
326,-0.2,55,1.0,1629,0.0,0.0,0.0,0,0,0,1,0,1,0.0,1.0
280,-0.2,54,0.5,1747,0.0,0.0,0.0,0,0,0,1,0,1,0.25881904510252074,0.9659258262890683
243,0.2,52,0.7,1726,0.0,0.0,0.0,0,0,0,1,0,1,0.49999999999999994,0.8660254037844387
169,0.3,53,0.5,1748,0.0,0.0,0.0,0,0,0,1,0,1,0.7071067811865476,0.7071067811865476
71,0.4,52,1.6,1816,0.0,0.0,0.0,0,0,0,1,0,1,0.8660254037844386,0.5000000000000001
13,0.3,74,1.0,178,0.0,0.0,0.7,0,0,0,1,0,1,0.9659258262890683,0.25881904510252074
9,-0.5,90,0.9,91,0.0,2.5,2.7,0,0,0,1,0,1,1.0,6.123233995736766e-17
20,-0.4,92,1.1,121,0.0,0.0,4.0,0,0,0,1,0,1,0.9659258262890683,-0.25881904510252063
35,-0.2,90,1.2,378,0.0,0.0,4.1,0,0,0,1,0,1,0.8660254037844387,-0.4999999999999998
31,0.2,90,1.0,305,0.0,1.6,4.3,0,0,0,1,0,1,0.7071067811865476,-0.7071067811865475
19,0.5,91,0.4,143,0.0,0.0,4.3,0,0,0,1,0,1,0.49999999999999994,-0.8660254037844387
58,0.9,92,0.9,137,0.03,0.0,3.9,0,0,0,1,0,1,0.258819045102521,-0.9659258262890682
119,2.3,88,0.3,245,0.28,0.0,3.1,0,0,0,1,0,1,1.2246467991473532e-16,-1.0
182,3.3,87,1.1,230,0.54,0.0,2.1,0,0,0,1,0,1,-0.2588190451025208,-0.9659258262890683
235,4.2,85,0.7,325,0.65,0.0,1.4,0,0,0,1,0,1,-0.4999999999999997,-0.8660254037844388
180,6.7,63,4.5,715,0.35,0.0,1.0,0,0,0,1,0,1,-0.7071067811865471,-0.7071067811865479
214,5.4,71,3.5,622,0.2,0.0,0.5,0,0,0,1,0,1,-0.8660254037844385,-0.5000000000000004
226,3.6,65,4.3,1061,0.03,0.0,0.4,0,0,0,1,0,1,-0.9659258262890683,-0.25881904510252063
210,2.0,61,3.0,2000,0.0,0.0,0.0,0,0,0,1,0,1,-1.0,-1.8369701987210297e-16
181,1.6,53,4.0,2000,0.0,0.0,0.0,0,0,0,1,0,1,-0.9659258262890684,0.2588190451025203
165,0.6,57,3.9,1954,0.0,0.0,0.0,0,0,0,1,0,1,-0.8660254037844386,0.5000000000000001
167,0.0,59,3.0,1862,0.0,0.0,0.0,0,0,0,1,0,1,-0.7071067811865477,0.7071067811865474
